"Età","Totale maschi","Totale femmine","Totale"
"0","3039","2921","5960"
"1","3213","2989","6202"
"2","3228","3041","6269"
"3","3414","3227","6641"
"4","3521","3420","6941"
"5","3661","3402","7063"
"6","3800","3531","7331"
"7","3975","3719","7694"
"8","4092","3861","7953"
"9","4207","3951","8158"
"10","4378","4068","8446"
"11","4359","4129","8488"
"12","4338","4137","8475"
"13","4571","4230","8801"
"14","4652","4337","8989"
"15","4841","4536","9377"
"16","4914","4491","9405"
"17","4860","4705","9565"
"18","4867","4543","9410"
"19","4879","4562","9441"
"20","5004","4572","9576"
"21","4988","4559","9547"
"22","4840","4429","9269"
"23","4953","4433","9386"
"24","4915","4485","9400"
"25","5070","4677","9747"
"26","5256","4718","9974"
"27","5269","4741","10010"
"28","5119","4774","9893"
"29","5303","4721","10024"
"30","5324","4847","10171"
"31","5238","4974","10212"
"32","5261","4964","10225"
"33","5449","5114","10563"
"34","5385","5221","10606"
"35","5541","5263","10804"
"36","5496","5296","10792"
"37","5697","5401","11098"
"38","5443","5379","10822"
"39","5374","5365","10739"
"40","5709","5589","11298"
"41","5568","5644","11212"
"42","5699","5627","11326"
"43","5892","5806","11698"
"44","6092","5897","11989"
"45","6247","5926","12173"
"46","6306","6340","12646"
"47","6509","6546","13055"
"48","6780","6646","13426"
"49","7026","6964","13990"
"50","7376","7281","14657"
"51","7719","7576","15295"
"52","7538","7388","14926"
"53","7712","7484","15196"
"54","7764","7552","15316"
"55","7687","7357","15044"
"56","7812","7705","15517"
"57","7618","7514","15132"
"58","7622","7510","15132"
"59","7557","7645","15202"
"60","7492","7572","15064"
"61","7461","7604","15065"
"62","7044","7035","14079"
"63","6535","6639","13174"
"64","6338","6551","12889"
"65","5920","6185","12105"
"66","5779","6076","11855"
"67","5466","5832","11298"
"68","5225","5737","10962"
"69","5207","5585","10792"
"70","4926","5372","10298"
"71","4763","5210","9973"
"72","4554","4877","9431"
"73","4364","4801","9165"
"74","4244","4813","9057"
"75","4307","5010","9317"
"76","4120","4936","9056"
"77","4287","5109","9396"
"78","4089","4965","9054"
"79","4350","5373","9723"
"80","2742","3350","6092"
"81","2999","3892","6891"
"82","3019","3981","7000"
"83","2741","3780","6521"
"84","2566","3500","6066"
"85","2476","3502","5978"
"86","2321","3478","5799"
"87","1946","3169","5115"
"88","1673","2660","4333"
"89","1299","2182","3481"
"90","1068","2079","3147"
"91","881","1761","2642"
"92","657","1445","2102"
"93","451","1232","1683"
"94","361","1007","1368"
"95","224","764","988"
"96","165","554","719"
"97","104","379","483"
"98","69","305","374"
"99","41","200","241"
"100 e oltre","56","313","369"
"Totale","460297","470545","930842"